author,likeCount,text,videoId
@Theguywhoisaguy-tb9nj,1,Day 95 of asking for 10000000000 gems,6D1yFt1Uook
@Tigryplayzgamez,1,You replace Chromatics for THIS?!?!😭,6D1yFt1Uook
@AbnerContreras-o7t,1,Gracias por todas las buenas actualizaciones te agradezco mucho te creaste un buen juego es mi favorito el brawl stars🎉🎉🎉🎉🎉🎉🎉🤝,6D1yFt1Uook
@ShadowPlayz77-u4i,1,9:45 IS THAT SHADE HYPER????? it has the flame under him,6D1yFt1Uook
@baynurr,1,I don't play BS for a year now (too much grind) but I never miss brawl talk  there is always so much new stuff added and it's funny,6D1yFt1Uook
@laty6868,1,Ryan and Paula BACKKKKKK!!!!!,6D1yFt1Uook
@GolukumarGolukumar-m2f,1,Who else is here before this blows up,6D1yFt1Uook
@mariceliacruz7441,1,Where's Iggy?,6D1yFt1Uook
@DEASPROKE1,1,i love the "THIS IS A BIG ONE",6D1yFt1Uook
@GreenBond12,1,This update gona be peak!!!,6D1yFt1Uook
@СемёнКутуков-п6в,1,Верните brawl stars в Россию,6D1yFt1Uook
@СемёнКутуков-п6в,1,Верните brawl stars в Россию,6D1yFt1Uook
@ds3t29wongpaakqiulincolnp,1,The new game mode is just a copy of China’s game 皇者榮耀😂,6D1yFt1Uook
@ElCanaldeJero,1,Bro shade hipercharge☠️☠️,6D1yFt1Uook
@Jottta_Cê,1,❤【J】【E】【S】【U】【S】 【T】【E】 【A】【M】【A】,6D1yFt1Uook
@NoahVasquez-i9d,0,When is it coming,6D1yFt1Uook
@DonaldShirley-d5q,0,The way you explained this is SO clear. Thank you,6D1yFt1Uook
@Maryaadams-i9t,0,Loved this video  keep up the great work!,6D1yFt1Uook
@Efwin197,0,This is *THE BRAWL REFLEX UPDATE*,6D1yFt1Uook
@GdgdDggx,0,I can t stop smiling watching this,6D1yFt1Uook
@GamerBoy-gp8nm,2,DARTH JAR JAR!!!🎉🎉,RKZPMyAvEXs
@BoomTheElf,1,Somehow Palpatine has returned,RKZPMyAvEXs
@DavidRichardson-l8t,1,Please add Eddie Munson all items is in the wwe vid please make it true I’m crying every day for it to be true plenary my dream come true,RKZPMyAvEXs
@HerbertAndrews-t9t,1,Pure talent. No words,RKZPMyAvEXs
@sherylalmaden5119,1,I meant what new.Just saying.,RKZPMyAvEXs
@hangryfv,1,This is why the game is dead 🥀,RKZPMyAvEXs
@PatrickPatrick-c3z,1,Nah no way darth jar jar is a really skim or style 💀,RKZPMyAvEXs
@KhojaAliev,1,Pure talent. No words,RKZPMyAvEXs
@DeShawnCarter-f7s,1,This gave me chills… in the best way,RKZPMyAvEXs
@TobyTordoff,1,Holy season 3 here we come,RKZPMyAvEXs
@LinWishart,1,Pure talent. No words,RKZPMyAvEXs
@Jjswealtz302,0,should of released it o n may 4 because …may the force…may the 4rt,RKZPMyAvEXs
@Invincible-g3v,0,IT’S FINALLY HAPPENING!!! 🎉🎉🎉🎉🎉🎉🎉🎉,RKZPMyAvEXs
@RandyBarnes-s5o,0,I didn t expect to love this as much as I do,RKZPMyAvEXs
@SathvikSgr,0,That transition at 3:12 was chefs kiss,RKZPMyAvEXs
@MercyChilongo-x9q,0,Pure talent. No words,RKZPMyAvEXs
@MoistySquire,0,Gotta love all the dumbass AI and wannabe AI comments.  No wonder they got no brain cells.,RKZPMyAvEXs
@rimjhimgharu1044,0,This deserves way more views. Absolutely underrated,RKZPMyAvEXs
@PrashantNarawde-w6l,0,Came for the thumbnail  stayed for the vibes,RKZPMyAvEXs
@MateoRobinson-k8y,0,That part at 2:45 Instant goosebumps,RKZPMyAvEXs
@MrBeastGaming,18956,I remembered the password for the account lol,2C6omXxIcyE
@blizzardstormer5076,5,YAY GAMING IS BACK!! Do more challenges or do a series where you all are playing and completing Minecraft,2C6omXxIcyE
@perlavillanueva-nx2tj,1,Hopefully the one's who lost still got a reward for putting alot of effort to there builds.,2C6omXxIcyE
@Hiesmen.372,1,So Batman returns…,2C6omXxIcyE
@Kingzed14,1,What about reacts,2C6omXxIcyE
